clause_id,doc_id,document,regulation_type,year,pasal,ayat,huruf,angka,source_location,bab,bagian,paragraf,clause_text,word_count,segmentation_note,unit_text_before_atomic_split,is_substantive,non_substantive_reason,policy_theme,label_id,label_source,rule_keyword,confidence,review_flag,keyword_scores_json,weighted_hits_json,audit_note,technical_tariff_clause,technical_tariff_evidence,domain_markers,domain_marker_evidence,best_theme_candidate,best_theme_score,final_label_score,audit_label_consistent,second_theme_candidate,second_theme_score,score_margin,n_matched_keywords_best_theme,n_matched_keywords_all_themes,top_evidence_keywords,strong_evidence_keywords,weak_or_ambiguous_evidence_keywords,evidence_strength
C00013,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,9,Pasal 1 angka 9,BAB I,,,Energi tak terbarukan adalah energi yang berasal dari sumber energi tak terbarukan,12,angka-level clause,Energi tak terbarukan adalah energi yang berasal dari sumber energi tak terbarukan.,True,substantive_candidate,Other/Needs Review,L0,needs-manual-review,,0.0,True,"{""Energy Security"": 0.0, ""Energy Access and Equity"": 0.0, ""Renewable and Sustainable Energy"": 0.0, ""Economic and Pricing Policy"": 0.0, ""Governance and Institutional Responsibility"": 0.0, ""Environmental Protection and Safety"": 0.0}","{""Energy Security"": [], ""Energy Access and Equity"": [], ""Renewable and Sustainable Energy"": [], ""Economic and Pricing Policy"": [], ""Governance and Institutional Responsibility"": [], ""Environmental Protection and Safety"": []}",no keyword matched,False,,,,No reliable theme candidate,0.0,0.0,not_applicable,No reliable second candidate,0.0,0.0,0,0,,,,no_evidence
C00014,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,10,Pasal 1 angka 10,BAB I,,,"Lingkungan hidup adalah kesatuan ruang dengan semua benda, daya, keadaan, dan makhluk hidup, termasuk manusia dan perilakunya, yang mempengaruhi kelangsungan perikehidupan dan kesejahteraan manusia serta makhluk hidup lain",28,angka-level clause,"Lingkungan hidup adalah kesatuan ruang dengan semua benda, daya, keadaan, dan makhluk hidup, termasuk manusia dan perilakunya, yang mempengaruhi kelangsungan perikehidupan dan kesejahteraan manusia serta makhluk hidup lain.",True,substantive_candidate,Environmental Protection and Safety,L6,weighted-rule-assisted,lingkungan hidup,0.68,False,"{""Energy Security"": 0.0, ""Energy Access and Equity"": 0.0, ""Renewable and Sustainable Energy"": 0.0, ""Economic and Pricing Policy"": 0.0, ""Governance and Institutional Responsibility"": 0.0, ""Environmental Protection and Safety"": 2.0}","{""Energy Security"": [], ""Energy Access and Equity"": [], ""Renewable and Sustainable Energy"": [], ""Economic and Pricing Policy"": [], ""Governance and Institutional Responsibility"": [], ""Environmental Protection and Safety"": [{""keyword"": ""lingkungan hidup"", ""weight"": 2.0}]}",weighted keyword rule,False,,,,Environmental Protection and Safety,2.0,2.0,True,Renewable and Sustainable Energy,0.0,2.0,1,1,lingkungan hidup,lingkungan hidup,,strong_evidence
C00015,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,11,Pasal 1 angka 11,BAB I,,,Pelestarian fungsi lingkungan hidup adalah rangkaian upaya untuk memelihara kelangsungan daya dukung dan daya tampung lingkungan hidup,17,angka-level clause,Pelestarian fungsi lingkungan hidup adalah rangkaian upaya untuk memelihara kelangsungan daya dukung dan daya tampung lingkungan hidup.,True,substantive_candidate,Environmental Protection and Safety,L6,weighted-rule-assisted,"lingkungan hidup, pelestarian fungsi lingkungan, daya tampung lingkungan",0.946,False,"{""Energy Security"": 0.0, ""Energy Access and Equity"": 0.0, ""Renewable and Sustainable Energy"": 0.0, ""Economic and Pricing Policy"": 0.0, ""Governance and Institutional Responsibility"": 0.0, ""Environmental Protection and Safety"": 4.7}","{""Energy Security"": [], ""Energy Access and Equity"": [], ""Renewable and Sustainable Energy"": [], ""Economic and Pricing Policy"": [], ""Governance and Institutional Responsibility"": [], ""Environmental Protection and Safety"": [{""keyword"": ""lingkungan hidup"", ""weight"": 2.0}, {""keyword"": ""pelestarian fungsi lingkungan"", ""weight"": 1.35}, {""keyword"": ""daya tampung lingkungan"", ""weight"": 1.35}]}",weighted keyword rule,False,,,,Environmental Protection and Safety,4.7,4.7,True,Renewable and Sustainable Energy,0.0,4.7,3,3,"lingkungan hidup, pelestarian fungsi lingkungan, daya tampung lingkungan",lingkungan hidup,,strong_evidence
C00016,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,12,Pasal 1 angka 12,BAB I,,,"Badan usaha adalah perusahaan berbentuk badan hukum yang menjalankan jenis usaha bersifat tetap, terus-menerus, dan didirikan sesuai dengan peraturan perundang-undangan, serta bekerja dan berkedudukan dalam wilayah Negara Kesatuan Republik Indonesia",32,angka-level clause,"Badan usaha adalah perusahaan berbentuk badan hukum yang menjalankan jenis usaha bersifat tetap, terus-menerus, dan didirikan sesuai dengan peraturan perundang-undangan, serta bekerja dan berkedudukan dalam wilayah Negara Kesatuan Republik Indonesia.",True,substantive_candidate,Governance and Institutional Responsibility,L5,weighted-rule-assisted,"peraturan, peraturan perundang-undangan, badan usaha",0.646,False,"{""Energy Security"": 0.0, ""Energy Access and Equity"": 0.0, ""Renewable and Sustainable Energy"": 0.0, ""Economic and Pricing Policy"": 0.3, ""Governance and Institutional Responsibility"": 1.85, ""Environmental Protection and Safety"": 0.0}","{""Energy Security"": [], ""Energy Access and Equity"": [], ""Renewable and Sustainable Energy"": [], ""Economic and Pricing Policy"": [{""keyword"": ""badan usaha"", ""weight"": 0.3}], ""Governance and Institutional Responsibility"": [{""keyword"": ""peraturan"", ""weight"": 0.2}, {""keyword"": ""peraturan perundang-undangan"", ""weight"": 1.35}, {""keyword"": ""badan usaha"", ""weight"": 0.3}], ""Environmental Protection and Safety"": []}",weighted keyword rule,False,,,,Governance and Institutional Responsibility,1.85,1.85,True,Economic and Pricing Policy,0.3,1.55,3,4,"peraturan perundang-undangan, badan usaha, peraturan",,"badan usaha, peraturan",moderate_evidence
C00017,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,13,Pasal 1 angka 13,BAB I,,,Bentuk usaha tetap adalah badan usaha yang didirikan dan berbadan hukum di luar wilayah Negara Kesatuan Republik Indonesia yang melakukan kegiatan dan berkedudukan di wilayah Negara Kesatuan Republik Indonesia dan wajib mematuhi peraturan perundang-undangan Republik Indonesia,37,angka-level clause,Bentuk usaha tetap adalah badan usaha yang didirikan dan berbadan hukum di luar wilayah Negara Kesatuan Republik Indonesia yang melakukan kegiatan dan berkedudukan di wilayah Negara Kesatuan Republik Indonesia dan wajib mematuhi peraturan perundang-undangan Republik Indonesia.,True,substantive_candidate,Governance and Institutional Responsibility,L5,weighted-rule-assisted,"peraturan, peraturan perundang-undangan, badan usaha",0.646,False,"{""Energy Security"": 0.0, ""Energy Access and Equity"": 0.0, ""Renewable and Sustainable Energy"": 0.0, ""Economic and Pricing Policy"": 0.3, ""Governance and Institutional Responsibility"": 1.85, ""Environmental Protection and Safety"": 0.0}","{""Energy Security"": [], ""Energy Access and Equity"": [], ""Renewable and Sustainable Energy"": [], ""Economic and Pricing Policy"": [{""keyword"": ""badan usaha"", ""weight"": 0.3}], ""Governance and Institutional Responsibility"": [{""keyword"": ""peraturan"", ""weight"": 0.2}, {""keyword"": ""peraturan perundang-undangan"", ""weight"": 1.35}, {""keyword"": ""badan usaha"", ""weight"": 0.3}], ""Environmental Protection and Safety"": []}",weighted keyword rule,False,,,,Governance and Institutional Responsibility,1.85,1.85,True,Economic and Pricing Policy,0.3,1.55,3,4,"peraturan perundang-undangan, badan usaha, peraturan",,"badan usaha, peraturan",moderate_evidence
C00018,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,14,Pasal 1 angka 14,BAB I,,,Cadangan penyangga energi adalah jumlah ketersediaan sumber energi dan energi yang disimpan secara nasional yang diperlukan untuk memenuhi kebutuhan energi nasional pada kurun waktu tertentu,25,angka-level clause,Cadangan penyangga energi adalah jumlah ketersediaan sumber energi dan energi yang disimpan secara nasional yang diperlukan untuk memenuhi kebutuhan energi nasional pada kurun waktu tertentu.,True,substantive_candidate,Energy Security,L1,weighted-rule-assisted,"cadangan penyangga, cadangan penyangga energi, kebutuhan energi, kebutuhan energi nasional",0.946,False,"{""Energy Security"": 4.7, ""Energy Access and Equity"": 0.0, ""Renewable and Sustainable Energy"": 0.0, ""Economic and Pricing Policy"": 0.0, ""Governance and Institutional Responsibility"": 0.0, ""Environmental Protection and Safety"": 0.0}","{""Energy Security"": [{""keyword"": ""cadangan penyangga"", ""weight"": 1.0}, {""keyword"": ""cadangan penyangga energi"", ""weight"": 1.35}, {""keyword"": ""kebutuhan energi"", ""weight"": 1.0}, {""keyword"": ""kebutuhan energi nasional"", ""weight"": 1.35}], ""Energy Access and Equity"": [], ""Renewable and Sustainable Energy"": [], ""Economic and Pricing Policy"": [], ""Governance and Institutional Responsibility"": [], ""Environmental Protection and Safety"": []}",weighted keyword rule,False,,,,Energy Security,4.7,4.7,True,Environmental Protection and Safety,0.0,4.7,4,4,"cadangan penyangga energi, kebutuhan energi nasional, cadangan penyangga, kebutuhan energi",,,strong_evidence
C00019,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,15,Pasal 1 angka 15,BAB I,,,"Penyediaan energi adalah kegiatan atau proses menyediakan energi, baik dari dalam negeri maupun dari luar negeri",16,angka-level clause,"Penyediaan energi adalah kegiatan atau proses menyediakan energi, baik dari dalam negeri maupun dari luar negeri.",True,substantive_candidate,Energy Security,L1,weighted-rule-assisted,penyediaan energi,0.55,True,"{""Energy Security"": 1.0, ""Energy Access and Equity"": 0.0, ""Renewable and Sustainable Energy"": 0.0, ""Economic and Pricing Policy"": 0.0, ""Governance and Institutional Responsibility"": 0.0, ""Environmental Protection and Safety"": 0.0}","{""Energy Security"": [{""keyword"": ""penyediaan energi"", ""weight"": 1.0}], ""Energy Access and Equity"": [], ""Renewable and Sustainable Energy"": [], ""Economic and Pricing Policy"": [], ""Governance and Institutional Responsibility"": [], ""Environmental Protection and Safety"": []}",weighted keyword rule; needs review due to low score or small margin,False,,,,Energy Security,1.0,1.0,True,Environmental Protection and Safety,0.0,1.0,1,1,penyediaan energi,,,weak_evidence
C00020,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,16,Pasal 1 angka 16,BAB I,,,"Pemanfaatan energi adalah kegiatan menggunakan energi, baik langsung maupun tidak langsung, dari sumber energi",14,angka-level clause,"Pemanfaatan energi adalah kegiatan menggunakan energi, baik langsung maupun tidak langsung, dari sumber energi.",True,substantive_candidate,Other/Needs Review,L0,needs-manual-review,,0.0,True,"{""Energy Security"": 0.0, ""Energy Access and Equity"": 0.0, ""Renewable and Sustainable Energy"": 0.0, ""Economic and Pricing Policy"": 0.0, ""Governance and Institutional Responsibility"": 0.0, ""Environmental Protection and Safety"": 0.0}","{""Energy Security"": [], ""Energy Access and Equity"": [], ""Renewable and Sustainable Energy"": [], ""Economic and Pricing Policy"": [], ""Governance and Institutional Responsibility"": [], ""Environmental Protection and Safety"": []}",no keyword matched,False,,,,No reliable theme candidate,0.0,0.0,not_applicable,No reliable second candidate,0.0,0.0,0,0,,,,no_evidence
C00021,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,17,Pasal 1 angka 17,BAB I,,,"Pengelolaan energi adalah penyelenggaraan kegiatan penyediaan, pengusahaan, dan pemanfaatan energi serta penyediaan cadangan strategis dan konservasi sumber daya energi",19,angka-level clause,"Pengelolaan energi adalah penyelenggaraan kegiatan penyediaan, pengusahaan, dan pemanfaatan energi serta penyediaan cadangan strategis dan konservasi sumber daya energi.",True,substantive_candidate,Renewable and Sustainable Energy,L3,weighted-rule-assisted,konservasi sumber daya energi,0.545,False,"{""Energy Security"": 1.0, ""Energy Access and Equity"": 0.0, ""Renewable and Sustainable Energy"": 1.35, ""Economic and Pricing Policy"": 0.0, ""Governance and Institutional Responsibility"": 1.0, ""Environmental Protection and Safety"": 0.0}","{""Energy Security"": [{""keyword"": ""cadangan strategis"", ""weight"": 1.0}], ""Energy Access and Equity"": [], ""Renewable and Sustainable Energy"": [{""keyword"": ""konservasi sumber daya energi"", ""weight"": 1.35}], ""Economic and Pricing Policy"": [], ""Governance and Institutional Responsibility"": [{""keyword"": ""pengelolaan energi"", ""weight"": 1.0}], ""Environmental Protection and Safety"": []}",weighted keyword rule,False,,,,Renewable and Sustainable Energy,1.35,1.35,True,Energy Security,1.0,0.35,1,3,konservasi sumber daya energi,,,moderate_evidence
C00022,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,18,Pasal 1 angka 18,BAB I,,,Pengusahaan energi adalah kegiatan menyelenggarakan usaha penyediaan dan/atau pemanfaatan energi,11,angka-level clause,Pengusahaan energi adalah kegiatan menyelenggarakan usaha penyediaan dan/atau pemanfaatan energi.,True,substantive_candidate,Other/Needs Review,L0,needs-manual-review,,0.0,True,"{""Energy Security"": 0.0, ""Energy Access and Equity"": 0.0, ""Renewable and Sustainable Energy"": 0.0, ""Economic and Pricing Policy"": 0.0, ""Governance and Institutional Responsibility"": 0.0, ""Environmental Protection and Safety"": 0.0}","{""Energy Security"": [], ""Energy Access and Equity"": [], ""Renewable and Sustainable Energy"": [], ""Economic and Pricing Policy"": [], ""Governance and Institutional Responsibility"": [], ""Environmental Protection and Safety"": []}",no keyword matched,False,,,,No reliable theme candidate,0.0,0.0,not_applicable,No reliable second candidate,0.0,0.0,0,0,,,,no_evidence
